molecule,solvent,label
CC1=C2N([B-](F)(F)[N+]3=C(C)C=C(C)C3=C2C4=CC=CC=C4)C(/C=C/C5=CC=C(N(C)C)C=C5)=C1,CC#N,597
F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,ClCCl,730
F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,ClCCl,745
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,ClCCl,778
F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,[H]C(N(C)C)=O,739
F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,[H]C(N(C)C)=O,758
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(C)N16,[H]C(N(C)C)=O,787
F[B-]1(F)[N+]2=C(/C=C/C3=CC=C(N(C)C)C=C3)C(C(OCC)=O)=C(C4=CC=CC=C4)C2=CC5=C(C6=CC=CC=C6)C(C(OCC)=O)=C(/C=C/C7=CC=C(N(C)C)C=C7)N15,ClCCl,755
F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C/8(C)C)N16,ClCCl,862
F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(CC)C(C=CC=C9)=C9S/8)N16,ClCCl,895
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16,ClCCl,949
F[B-]1(F)[N+]2=C(/C=C/C3=CC=C(N(C)C)C=C3)C(C(OCC)=O)=C(C4=CC=CC=C4)C2=CC5=C(C6=CC=CC=C6)C(C(OCC)=O)=C(/C=C/C7=CC=C(N(C)C)C=C7)N15,[H]C(N(C)C)=O,770
F[B-]1(F)[N+]2=C(/C=C/C=C3C(C)(C)C(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C/8(C)C)N16,[H]C(N(C)C)=O,888
F[B-]1(F)[N+]2=C(/C=C/C=C3SC(C=CC=C4)=C4N\3CC)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(CC)C(C=CC=C9)=C9S/8)N16,[H]C(N(C)C)=O,922
F[B-]1(F)[N+]2=C(/C=C/C=C3C=CC(C=CC=C4)=C4N\3C)C(C(OCC)=O)=C(C5=CC=CC=C5)C2=CC6=C(C7=CC=CC=C7)C(C(OCC)=O)=C(/C=C/C=C8N(C)C(C=CC=C9)=C9C=C/8)N16,[H]C(N(C)C)=O,972
CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,CO,590
CC1=C(CC)C(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,[H]C(N(C)C)=O,606
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,ClCCl,606
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,CO,594
CC1=CC(C)=[N+](C1=C2C3=CC=CC=C3)[B-](F)(F)N4C2=CC5=C4C6=C(C=C(N(CC)CC)C=C6)OC5=O,[H]C(N(C)C)=O,608
F[B-]([N+]1=C(C2=CC(C=CC=C3)=C3OC2CC4)C4=C(C5=CC=CC=C5)C1=C6)(F)N7C6=C(C8=CC=CC=C8)C9=C7C%10=CC%11=C(C=CC=C%11)OC%10CC9,ClC(Cl)Cl,732
CC(C(C=CC=C1)=C1N/2C)(C)C2=C\C=C\C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6,ClCCl,562
F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=CC=C3)(F)N4C2=C(C)C=C4/C=C/C5=CC=C(N(C)C)C=C5,CC#N,597
CN1C2=C(C=CC=C2)S/C1=C/C=C/C(C3=CC=C(C4=CC=CC=C4)N3[B-]5(F)F)=C6[N+]5=C(C7=CC=CC=C7)C=C6,ClCCl,558
F[B-]([N+]1=C(C2=CC=CC=C2)C=CC1=C3/C=C/C=C4CC=C(C=CC=C5)C5N/4C)(F)N6C3=CC=C6C7=CC=CC=C7,ClCCl,679
F[B-]([N+]1=C(C2=CC=C(CC)S2)C(C=C(OC)C=C3)=C3C1=C4)(F)N5C4=C(C=CC(OC)=C6)C6=C5C7=CC=C(CC)S7,ClCCl,727
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6C(C)(C)C(C=CC=C7)=C7N\6C,ClCCl,730
